id,name,type,start_date,end_date,days_left,condition,cost_maintenance,status
PC-0240,Bộ lưu điện APC 1000VA,Phần cứng,2024-12-10,2027-02-01,459,Tốt,2193723.38,2
PM-0241,Giấy chứng nhận đăng ký doanh nghiệp,Phần mềm,2022-07-12,2024-08-13,-468,Hỏng,4497872.87,0
PM-0242,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2021-12-20,2024-07-03,-499,Hỏng,3121189.98,0
PM-0243,Giấy phép Microsoft 365,Phần mềm,2024-07-05,2025-10-21,-14,Hỏng,17311098.66439463,0
PC-0244,Máy chủ Dell PowerEdge,Phần cứng,2024-12-14,2027-01-24,451,Tốt,4393145.58,2
GT-0245,Giấy phép kinh doanh,Giấy tờ,2024-10-23,2026-09-30,304,Tốt,3942986.06,2
PC-0246,Máy chiếu Epson EB-X51,Phần cứng,2025-09-22,2027-04-16,515,Tốt,3534902.31,2
PM-0247,Gói dịch vụ Google Workspace,Phần mềm,2023-11-06,2024-10-03,-412,Hỏng,2849448.42,0
PC-0248,Laptop Dell XPS 13,Phần cứng,2024-06-03,2026-08-03,254,Tốt,514580.15,2
GT-0249,Hợp đồng thuê văn phòng,Giấy tờ,2025-11-14,2026-06-14,240,Hỏng,4232261.46,0
PM-0250,Domain công ty .vn,Phần mềm,2024-11-28,2027-06-15,586,Tốt,1146256.98,2
GT-0251,Hợp đồng cung cấp dịch vụ,Giấy tờ,2022-11-06,2024-06-24,-525,Hỏng,2992213.51,0
PC-0252,Bộ lưu điện APC 1000VA,Phần cứng,2022-12-05,2024-05-29,-518,Hỏng,4133994.14,0
PC-0253,Thiết bị NAS Synology DS220+,Phần cứng,2024-10-16,2026-08-10,303,Tốt,2916958.97,2
PM-0254,License AutoCAD 2024,Phần mềm,2024-03-05,2025-02-28,-240,Hỏng,4736416.7,0
PC-0255,Máy chiếu Epson EB-X51,Phần cứng,2025-03-05,2026-11-04,334,Tốt,503973.02,2
GT-0256,Biên bản thanh lý hợp đồng,Giấy tờ,2024-01-03,2026-06-27,220,Tốt,2964814.53,2
GT-0257,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2023-03-29,2024-07-26,-455,Hỏng,13740359.55684932,0
PM-0258,Phần mềm quản lý nhân sự,Phần mềm,2025-08-31,2026-12-30,402,Tốt,386605.33,2
PM-0259,Máy tính bàn HP EliteDesk,Phần mềm,2025-10-09,2026-05-09,185,Tốt,2254196.86,2
PC-0260,Máy chủ Dell PowerEdge,Phần cứng,2023-06-03,2025-05-15,-169,Hỏng,623313.41,0
GT-0261,Phiếu đăng ký nội bộ,Giấy tờ,2023-10-16,2025-10-09,-48,Hỏng,1136978.1,0
PM-0262,Gói Cloud AWS Business,Phần mềm,2026-05-19,2026-11-15,367,Tốt,3721248.26,2
GT-0263,Ổ cứng WD 1TB,Giấy tờ,2022-11-22,2025-01-28,-337,Hỏng,,0
GT-0264,Giấy ủy quyền đại diện,Giấy tờ,2025-03-19,2025-10-17,-41,Hỏng,2072522.92,0
PC-0265,Máy chủ Dell PowerEdge,Phần cứng,2024-12-31,2025-04-11,-219,Hỏng,2328500.61,0
PM-0266,Giấy phép Microsoft 365,Phần mềm,2023-02-21,2025-03-03,-273,Hỏng,2261089.7,0
PM-0267,License AutoCAD 2024,Phần mềm,2025-06-08,2026-04-23,186,Tốt,704285.1,2
GT-0268,Giấy ủy quyền đại diện,Giấy tờ,2024-05-05,2026-03-01,88,Tốt,169395.8,2
GT-0269,Biên bản kiểm tra tài sản,Giấy tờ,2022-05-22,2024-12-31,-323,Hỏng,2902941.75,0
PC-0270,Máy chủ Dell PowerEdge,Phần cứng,2022-05-12,2024-08-24,-443,Tốt,1063403.92,2
GT-0271,Biên bản kiểm tra tài sản,Giấy tờ,2026-05-14,2027-04-03,529,Cần bảo trì,2294944.94,1
PC-0272,Laptop Dell XPS 13,Phần cứng,2024-03-13,2025-07-10,-147,Hỏng,2675348.59,0
GT-0273,Hồ sơ nhân sự,Giấy tờ,2026-01-13,2027-05-30,581,Tốt,1986590.58,2
PM-0274,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2024-10-22,2026-10-29,351,Cần bảo trì,4490271.45,1
PC-0275,Máy chiếu Epson EB-X51,Phần cứng,2024-10-07,2025-05-24,-187,Hỏng,1888629.74,0
PM-0276,Gói Cloud AWS Business,Phần mềm,2025-11-28,2026-04-29,175,Tốt,3877638.08,2
PM-0277,Gói dịch vụ Google Workspace,Phần mềm,2023-06-14,2025-08-05,-96,Tốt,2203813.73,2
PC-0278,Máy in Canon LBP 2900,Phần cứng,2024-07-17,2026-10-24,337,Tốt,776201.23,2
GT-0279,Giấy ủy quyền đại diện,Giấy tờ,2024-08-22,2026-10-02,325,Tốt,377516.82,2
PM-0280,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2024-02-19,2026-05-08,171,Tốt,1353723.37,2
PC-0281,Laptop Dell XPS 13,Phần cứng,2023-01-18,2024-06-16,-512,Hỏng,4894657.18,0
PC-0282,Thiết bị NAS Synology DS220+,Phần cứng,2026-02-05,2027-01-17,441,Tốt,135479.96,2
PM-0283,Gói dịch vụ Google Workspace,Phần mềm,2022-11-15,2025-06-07,-134,Hỏng,2527539.4,0
PC-0284,Máy chủ Dell PowerEdge,Phần cứng,2024-05-01,2025-10-21,-41,Hỏng,4437302.41,0
PM-0285,Gói Cloud AWS Business,Phần mềm,2023-08-28,2024-06-25,-473,Hỏng,4943643.91,0
PC-0286,Máy chủ Dell PowerEdge,Phần cứng,2024-09-06,2025-06-16,-178,Hỏng,4722048.63,0
PC-0287,Laptop Dell XPS 13,Phần cứng,2026-02-07,2026-09-17,307,Tốt,1465738.65,2
PC-0288,Thiết bị NAS Synology DS220+,Phần cứng,2023-10-03,2025-02-14,-262,Hỏng,427542.65,0
PM-0289,License phần mềm kế toán MISA,Phần mềm,2022-04-02,2024-08-20,-450,Hỏng,613884.45,0
PM-0290,Gói dịch vụ Google Workspace,Phần mềm,2025-01-30,2026-01-23,90,Tốt,3519730.68,2
GT-0291,Biên bản hợp tác,Giấy tờ,2025-02-14,2026-02-28,105,Tốt,1709086.76,2
GT-0292,Ổ cứng WD 1TB,Giấy tờ,2023-08-05,2026-02-26,99,Hỏng,2951474.71,0
GT-0293,Giấy ủy quyền đại diện,Giấy tờ,2024-02-01,2026-10-11,324,Tốt,,2
GT-0294,Biên bản hợp tác,Giấy tờ,2025-03-24,2027-03-03,489,Tốt,1472328.8,2
PC-0295,Máy chiếu Epson EB-X51,Phần cứng,2025-01-11,2025-11-04,-3,Hỏng,4342339.88,0
PM-0296,Giấy phép Zoom Pro,Phần mềm,2022-11-25,2024-07-27,-483,Hỏng,910535.69,0
PC-0297,Thiết bị NAS Synology DS220+,Phần cứng,2023-05-01,2025-08-29,-62,Hỏng,3708434.72,0
PC-0298,Máy chiếu Epson EB-X51,Phần cứng,2024-11-27,2025-07-28,-102,Hỏng,4922010.9,0
PC-0299,Thiết bị NAS Synology DS220+,Phần cứng,2025-05-20,2027-04-28,544,Tốt,3456109.29,2
GT-0300,Giấy phép kinh doanh,Giấy tờ,2025-10-06,2026-06-20,246,Tốt,4571494.03,2
GT-0301,Giấy phép kinh doanh,Giấy tờ,2023-09-21,2024-05-01,-572,Hỏng,1370276.1,0
GT-0302,Hồ sơ nhân sự,Giấy tờ,2026-08-29,2027-06-11,568,Tốt,2487324.47,2
PM-0303,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2023-12-29,2025-02-26,-248,Hỏng,684428.15,0
GT-0304,Biên bản thanh lý hợp đồng,Giấy tờ,2024-06-12,2025-12-27,54,Tốt,3660922.89,2
PC-0305,Máy in Canon LBP 2900,Phần cứng,2025-03-29,2026-06-20,220,Tốt,876856.39,2
GT-0306,Giấy ủy quyền đại diện,Giấy tờ,2024-05-12,2026-09-29,323,Cần bảo trì,2021907.51,1
PC-0307,Router Mikrotik RB750Gr3,Phần cứng,2022-07-01,2024-07-29,-452,Hỏng,831416.84,0
PM-0308,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2024-02-06,2026-06-18,209,Tốt,451684.8,2
PM-0309,Giấy phép Zoom Pro,Phần mềm,2022-12-04,2024-04-19,-564,Hỏng,1946478.07,0
PM-0310,Giấy phép Microsoft 365,Phần mềm,2024-11-07,2026-01-26,72,Tốt,3595229.53,2
PM-0311,Bản quyền Windows Server 2022,Phần mềm,2022-10-26,2024-06-27,-506,Cần bảo trì,1983246.87,1
PC-0312,Máy chiếu Epson EB-X51,Phần cứng,2023-09-26,2024-05-29,-516,Hỏng,2418774.71,0
PC-0313,Laptop Dell XPS 13,Phần cứng,2025-09-16,2026-03-29,162,Tốt,1311320.22,2
PM-0314,Giấy phép Zoom Pro,Phần mềm,2024-03-16,2026-11-04,369,Tốt,4776181.56,2
PM-0315,License AutoCAD 2024,Phần mềm,2022-07-21,2024-10-08,-380,Hỏng,3854561.02,0
GT-0316,Biên bản kiểm tra tài sản,Giấy tờ,2023-08-28,2026-03-04,112,Tốt,1757700.81,2
GT-0317,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2022-10-11,2024-05-21,-530,Hỏng,3442011.98,0
PC-0318,Thiết bị NAS Synology DS220+,Phần cứng,2025-02-08,2027-02-17,457,Tốt,379667.05,2
PC-0319,Máy chiếu Epson EB-X51,Phần cứng,2022-09-26,2024-07-07,-488,Hỏng,3473482.35,0
PC-0320,Máy chiếu Epson EB-X51,Phần cứng,2025-05-24,2026-08-04,263,Tốt,515468.73,2
GT-0321,Giấy ủy quyền đại diện,Giấy tờ,2023-10-19,2026-06-16,217,Tốt,684093.15,2
PC-0322,Ổ cứng WD 1TB,Phần cứng,2022-03-24,2024-04-02,-580,Hỏng,,0
PM-0323,Domain công ty .vn,Phần mềm,2023-08-17,2026-01-11,48,Tốt,,2
GT-0324,Biên bản hợp tác,Giấy tờ,2025-04-02,2026-12-19,406,Tốt,4245978.26,2
GT-0325,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2026-07-16,2027-04-13,497,Cần bảo trì,3233324.6,1
PM-0326,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2022-12-10,2024-05-07,-572,Hỏng,220827.19,0
PM-0327,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2025-10-26,2026-11-27,397,Hỏng,2366050.59,0
PM-0328,License phần mềm kế toán MISA,Phần mềm,2023-03-12,2025-02-19,-254,Hỏng,3487101.34,0
GT-0329,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2025-02-10,2026-02-07,96,Tốt,576410.11,2
PM-0330,License phần mềm kế toán MISA,Phần mềm,2023-06-26,2025-11-05,2,Cần bảo trì,,1
PM-0331,Giấy phép Zoom Pro,Phần mềm,2025-03-28,2025-11-26,14,Cần bảo trì,,1
PM-0332,License AutoCAD 2024,Phần mềm,2025-09-22,2026-12-11,381,Tốt,2803385.97,2
GT-0333,Phiếu đăng ký nội bộ,Giấy tờ,2022-08-07,2024-07-30,-469,Hỏng,3481443.88,0
PC-0334,Máy chủ Dell PowerEdge,Phần cứng,2025-03-10,2026-11-29,372,Tốt,326781.7,2
PM-0335,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2022-11-24,2025-07-31,-89,Hỏng,,0
PC-0336,Laptop Dell XPS 13,Phần cứng,2025-12-02,2026-03-13,119,Tốt,2600840.55,2
GT-0337,Giấy ủy quyền đại diện,Giấy tờ,2024-08-04,2027-04-27,519,Tốt,1164797.37,2
PM-0338,License AutoCAD 2024,Phần mềm,2026-05-21,2027-06-28,588,Tốt,4951706.57,2
PM-0339,License AutoCAD 2024,Phần mềm,2026-06-11,2027-05-30,570,Tốt,,2
PM-0340,Bản quyền Windows Server 2022,Phần mềm,2025-01-27,2027-02-17,454,Tốt,,2
GT-0341,Phiếu đăng ký nội bộ,Giấy tờ,2023-07-31,2025-02-02,-295,Hỏng,2399378.1,0
GT-0342,Phiếu đăng ký nội bộ,Giấy tờ,2024-11-17,2025-04-02,-220,Hỏng,3841367.07,0
GT-0343,Giấy phép kinh doanh,Giấy tờ,2024-06-10,2025-02-24,-257,Hỏng,3687911.51,0
PC-0344,Ổ cứng WD 1TB,Phần cứng,2023-12-07,2024-03-24,-606,Hỏng,2336553.83,0
PC-0345,Máy chiếu Epson EB-X51,Phần cứng,2023-09-17,2024-08-14,-462,Hỏng,1168038.76,0
PC-0346,Biên bản hợp tác,Phần cứng,2025-08-10,2026-02-24,107,Tốt,4551695.51,2
PM-0347,License phần mềm kế toán MISA,Phần mềm,2023-03-28,2025-04-24,-224,Hỏng,1921633.24,0
PM-0348,Bản quyền Windows Server 2022,Phần mềm,2021-11-18,2024-05-21,-561,Hỏng,1294913.26,0
PC-0349,Máy tính bàn HP EliteDesk,Phần cứng,2023-05-30,2024-04-01,-601,Hỏng,4518619.84,0
PC-0350,Switch Cisco SG350,Phần cứng,2025-02-18,2025-10-06,-40,Hỏng,324932.05,0
GT-0351,Phiếu đăng ký nội bộ,Giấy tờ,2025-04-07,2026-08-23,289,Tốt,4153212.59,2
PC-0352,Bộ lưu điện APC 1000VA,Phần cứng,2026-08-18,2027-04-26,552,Tốt,882640.16,2
PC-0353,Bộ lưu điện APC 1000VA,Phần cứng,2025-03-09,2025-08-09,-82,Hỏng,3897922.37,0
PC-0354,Switch Cisco SG350,Phần cứng,2023-10-08,2024-05-14,-549,Hỏng,4845513.15,0
GT-0355,Phiếu đăng ký nội bộ,Giấy tờ,2025-03-07,2027-04-18,522,Tốt,2986370.36,2
GT-0356,Phiếu đăng ký nội bộ,Giấy tờ,2023-05-18,2025-05-14,-197,Hỏng,3791192.38,0
PC-0357,Thiết bị NAS Synology DS220+,Phần cứng,2022-12-07,2024-10-23,-385,Hỏng,4487180.74,0
PM-0358,License phần mềm kế toán MISA,Phần mềm,2025-05-15,2027-05-09,539,Tốt,3739358.02,2
GT-0359,Biên bản kiểm tra tài sản,Giấy tờ,2024-05-21,2025-10-22,-16,Hỏng,2900431.04,0
PC-0360,Switch Cisco SG350,Phần cứng,2025-05-26,2026-10-29,339,Tốt,1328000.21,2
GT-0361,Hợp đồng thuê văn phòng,Giấy tờ,2026-03-09,2026-09-28,328,Tốt,4260967.67,2
PC-0362,Máy chủ Dell PowerEdge,Phần cứng,2021-09-22,2024-04-30,-538,Hỏng,4657947.44,0
PM-0363,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2025-12-12,2026-11-30,381,Tốt,1263245.47,2
PC-0364,Ổ cứng WD 1TB,Phần cứng,2026-08-12,2027-07-04,605,Tốt,2479378.68,2
PC-0365,Laptop Dell XPS 13,Phần cứng,2026-04-22,2026-11-19,382,Tốt,4472399.65,2
GT-0366,Hợp đồng thuê văn phòng,Giấy tờ,2025-09-01,2027-05-03,531,Tốt,2475732.64,2
PC-0367,Thiết bị NAS Synology DS220+,Phần cứng,2022-12-20,2024-07-14,-483,Hỏng,,0
PC-0368,Máy in Canon LBP 2900,Phần cứng,2024-04-08,2024-10-23,-385,Hỏng,3987130.11,0
GT-0369,Giấy ủy quyền đại diện,Giấy tờ,2025-10-06,2026-06-15,216,Tốt,3541814.88,2
PM-0370,Giấy phép Zoom Pro,Phần mềm,2024-11-10,2027-06-28,581,Cần bảo trì,529170.47,1
GT-0371,Giấy phép Microsoft 365,Giấy tờ,2023-05-31,2026-02-19,99,Tốt,793025.53,2
PM-0372,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2023-10-22,2026-06-25,232,Tốt,2327350.04,2
PM-0373,Gói Cloud AWS Business,Phần mềm,2024-03-10,2025-05-21,-153,Hỏng,644349.34,0
PM-0374,Gói dịch vụ Google Workspace,Phần mềm,2022-03-29,2024-06-11,-505,Hỏng,4089835.12,0
PC-0375,Bộ lưu điện APC 1000VA,Phần cứng,2022-07-04,2025-01-10,-274,Hỏng,965664.32,0
GT-0376,Giấy phép kinh doanh,Giấy tờ,2026-08-13,2027-05-02,524,Tốt,2799221.56,2
PM-0377,License AutoCAD 2024,Phần mềm,2023-11-23,2026-02-19,112,Tốt,45362.02,2
GT-0378,Biên bản thanh lý hợp đồng,Giấy tờ,2024-11-04,2026-12-24,410,Tốt,534903.19,2
PC-0379,Ổ cứng WD 1TB,Phần cứng,2025-02-10,2025-10-28,18,Cần bảo trì,2161203.92,1
PC-0380,Bộ lưu điện APC 1000VA,Phần cứng,2023-12-05,2025-10-14,-41,Hỏng,897486.62,0
GT-0381,Hợp đồng cung cấp dịch vụ,Giấy tờ,2024-04-06,2026-09-23,302,Tốt,3439428.61,2
PC-0382,Máy in Canon LBP 2900,Phần cứng,2024-11-10,2026-03-22,121,Cần bảo trì,831887.93,1
PC-0383,Máy tính bàn HP EliteDesk,Phần cứng,2025-08-13,2026-08-24,253,Tốt,1729415.28,2
PC-0384,Ổ cứng WD 1TB,Phần cứng,2022-04-16,2024-10-17,-399,Hỏng,4357684.03,0
PM-0385,Giấy phép Microsoft 365,Phần mềm,2024-07-12,2026-03-07,104,Tốt,3748259.16,2
PM-0386,Giấy phép Zoom Pro,Phần mềm,2022-10-03,2025-06-24,-139,Hỏng,122934.58,0
PM-0387,Domain công ty .vn,Phần mềm,2025-04-13,2026-08-17,283,Tốt,2443215.95,2
PM-0388,Gói Cloud AWS Business,Phần mềm,2025-02-20,2025-10-12,-3,Hỏng,5147.4,0
PC-0389,Laptop Dell XPS 13,Phần cứng,2025-06-08,2026-03-29,151,Tốt,4985622.5,2
GT-0390,Biên bản hợp tác,Giấy tờ,2023-12-09,2025-04-22,-213,Hỏng,,0
PM-0391,Phần mềm quản lý nhân sự,Phần mềm,2024-05-18,2026-05-27,183,Tốt,3468411.13,2
PC-0392,Ổ cứng WD 1TB,Phần cứng,2026-07-11,2026-11-20,380,Tốt,1150268.42,2
PM-0393,Phần mềm quản lý nhân sự,Phần mềm,2024-05-22,2026-07-18,228,Tốt,4816183.27,2
GT-0394,Giấy ủy quyền đại diện,Giấy tờ,2023-07-09,2025-01-18,-271,Hỏng,2098636.58,0
PM-0395,Gói dịch vụ Google Workspace,Phần mềm,2023-02-03,2025-10-12,-13,Hỏng,4470496.02,0
PM-0396,License phần mềm kế toán MISA,Phần mềm,2025-11-29,2027-06-21,579,Tốt,155670.41,2
PM-0397,Hồ sơ nhân sự,Phần mềm,2024-04-08,2025-07-26,-135,Hỏng,2366049.53,0
PC-0398,Máy chủ Dell PowerEdge,Phần cứng,2025-04-24,2025-08-23,-61,Hỏng,3854609.22,0
PC-0399,Switch Cisco SG350,Phần cứng,2022-06-10,2024-10-06,-404,Hỏng,3131101.61,0
GT-0400,Phiếu đăng ký nội bộ,Giấy tờ,2023-02-24,2025-04-03,-204,Hỏng,3083251.57,0
PC-0401,Máy chủ Dell PowerEdge,Phần cứng,2027-01-25,2027-06-11,552,Tốt,6159.18,2
PM-0402,License AutoCAD 2024,Phần mềm,2024-09-29,2025-08-24,-89,Hỏng,1002623.63,0
GT-0403,Hợp đồng thuê văn phòng,Giấy tờ,2024-12-08,2026-03-17,125,Tốt,2909857.01,2
GT-0404,Giấy phép kinh doanh,Giấy tờ,2024-01-03,2025-10-26,-16,Hỏng,1551809.79,0
GT-0405,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2022-12-12,2024-06-01,-536,Hỏng,2322992.98,0
PC-0406,Máy chiếu Epson EB-X51,Phần cứng,2022-10-01,2025-02-22,-254,Hỏng,2399694.17,0
PM-0407,Domain công ty .vn,Phần mềm,2023-03-16,2024-04-01,-606,Hỏng,3474909.43,0
GT-0408,Phiếu đăng ký nội bộ,Giấy tờ,2026-01-03,2026-05-09,176,Tốt,2402534.74,2
GT-0409,Biên bản kiểm tra tài sản,Giấy tờ,2024-12-09,2025-10-30,-11,Hỏng,4933312.97,0
PM-0410,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2026-03-25,2027-04-05,517,Tốt,1051747.9,2
GT-0411,Giấy phép kinh doanh,Giấy tờ,2024-04-29,2026-10-13,346,Tốt,48854.24,2
GT-0412,Hồ sơ nhân sự,Giấy tờ,2022-11-24,2024-11-01,-393,Hỏng,439332.5,0
GT-0413,Giấy phép kinh doanh,Giấy tờ,2023-06-28,2024-07-15,-508,Tốt,1789006.75,2
PM-0414,Giấy phép Zoom Pro,Phần mềm,2024-10-19,2027-06-24,608,Tốt,2837704.24,2
PC-0415,Switch Cisco SG350,Phần cứng,2023-01-09,2024-08-11,-453,Hỏng,1000751.22,0
PM-0416,Giấy phép Zoom Pro,Phần mềm,2023-07-30,2025-02-01,-295,Hỏng,3532378.63,0
PC-0417,Router Mikrotik RB750Gr3,Phần cứng,2023-10-19,2026-05-04,196,Tốt,3083022.91,2
PM-0418,Gói dịch vụ Google Workspace,Phần mềm,2023-03-25,2025-09-25,-46,Hỏng,3545302.6,0
PC-0419,Máy chủ Dell PowerEdge,Phần cứng,2025-03-06,2027-04-03,525,Tốt,1697250.96,2
PM-0420,Domain công ty .vn,Phần mềm,2022-07-22,2024-03-28,-593,Hỏng,3304100.59,0
PC-0421,Bộ lưu điện APC 1000VA,Phần cứng,2022-07-06,2024-04-12,-548,Hỏng,2261591.42,0
PM-0422,Bản quyền Windows Server 2022,Phần mềm,2025-08-21,2026-06-08,234,Tốt,819997.4,2
PC-0423,Máy chủ Dell PowerEdge,Phần cứng,2024-02-24,2024-06-18,-518,Hỏng,,0
GT-0424,Hợp đồng thuê văn phòng,Giấy tờ,2022-11-18,2024-07-21,-464,Hỏng,1645087.19,0
PC-0425,Thiết bị NAS Synology DS220+,Phần cứng,2025-10-11,2026-02-04,94,Hỏng,910589.58,0
PM-0426,Giấy phép Microsoft 365,Phần mềm,2025-05-19,2026-02-14,115,Tốt,218308.29,2
PC-0427,Laptop Dell XPS 13,Phần cứng,2025-02-27,2026-01-12,47,Tốt,1661573.13,2
GT-0428,Biên bản thanh lý hợp đồng,Giấy tờ,2026-01-17,2026-10-01,333,Tốt,,2
PM-0429,Gói dịch vụ Google Workspace,Phần mềm,2022-11-24,2024-06-22,-492,Hỏng,2091998.94,0
PM-0430,Giấy phép Microsoft 365,Phần mềm,2026-04-18,2026-09-10,276,Tốt,2313114.78,2
PC-0431,Ổ cứng WD 1TB,Phần cứng,2023-05-13,2024-08-27,-460,Hỏng,2079536.83,0
GT-0432,Hồ sơ nhân sự,Giấy tờ,2024-07-14,2026-03-23,100,Tốt,1855193.81,2
PC-0433,Thiết bị NAS Synology DS220+,Phần cứng,2026-04-09,2026-10-24,342,Tốt,,2
PC-0434,Máy chủ Dell PowerEdge,Phần cứng,2023-11-17,2026-08-04,276,Cần bảo trì,2433344.71,1
PC-0435,Bộ lưu điện APC 1000VA,Phần cứng,2024-06-17,2026-10-09,354,Tốt,2108604.63,2
PC-0436,Máy tính bàn HP EliteDesk,Phần cứng,2024-05-10,2024-09-23,-414,Hỏng,4561816.73,0
PM-0437,Gói dịch vụ Google Workspace,Phần mềm,2024-08-19,2025-09-02,-47,Hỏng,3157801.1,0
PM-0438,Phần mềm quản lý nhân sự,Phần mềm,2025-05-14,2026-08-05,245,Tốt,3880001.04,2
PC-0439,Switch Cisco SG350,Phần cứng,2025-02-28,2026-10-17,313,Tốt,32651980.73085936,2
PC-0440,Router Mikrotik RB750Gr3,Phần cứng,2023-12-04,2025-01-08,-309,Hỏng,4271925.47,0
GT-0441,Giấy ủy quyền đại diện,Giấy tờ,2024-04-28,2025-02-02,-277,Hỏng,486966.96,0
GT-0442,Biên bản kiểm tra tài sản,Giấy tờ,2022-04-29,2024-04-04,-587,Hỏng,2574086.77,0
GT-0443,Giấy ủy quyền đại diện,Giấy tờ,2024-01-13,2024-07-29,-502,Hỏng,476307.54,0
GT-0444,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2022-02-09,2024-04-18,-574,Hỏng,1290667.16,0
GT-0445,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2024-11-21,2025-06-24,-161,Hỏng,654368.3,0
GT-0446,Giấy ủy quyền đại diện,Giấy tờ,2024-03-18,2025-01-02,-304,Hỏng,,0
PM-0447,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2023-12-30,2024-12-16,-326,Hỏng,1654446.81,0
GT-0448,Biên bản thanh lý hợp đồng,Giấy tờ,2025-10-26,2026-07-13,229,Tốt,4144416.83,2
GT-0449,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2025-11-28,2026-11-18,363,Tốt,3533886.08,2
PC-0450,Ổ cứng WD 1TB,Phần cứng,2026-03-14,2027-05-10,528,Tốt,3027690.79,2
PM-0451,Phần mềm quản lý nhân sự,Phần mềm,2024-01-19,2024-09-02,-437,Hỏng,3908951.65,0
PM-0452,Bản quyền Windows Server 2022,Phần mềm,2025-08-06,2025-12-01,33,Tốt,2699529.2,2
PC-0453,Máy chiếu Epson EB-X51,Phần cứng,2024-06-06,2026-11-15,353,Tốt,2655847.64,2
PC-0454,Laptop Dell XPS 13,Phần cứng,2024-09-28,2027-01-10,432,Tốt,610549.57,2
PC-0455,Máy tính bàn HP EliteDesk,Phần cứng,2025-05-13,2027-03-09,474,Tốt,1580780.52,2
GT-0456,Biên bản hợp tác,Giấy tờ,2025-03-23,2027-01-21,423,Tốt,741716.0,2
PC-0457,Hợp đồng cung cấp dịch vụ,Phần cứng,2023-05-30,2024-07-25,-477,Hỏng,4759058.93,0
PC-0458,Máy chủ Dell PowerEdge,Phần cứng,2024-06-21,2027-02-17,446,Tốt,2273699.28,2
PM-0459,Giấy phép Microsoft 365,Phần mềm,2024-08-02,2026-09-26,310,Tốt,3334321.29,2
PM-0460,Bản quyền Windows Server 2022,Phần mềm,2022-08-16,2025-01-23,-311,Hỏng,3523403.81,0
PC-0461,Máy tính bàn HP EliteDesk,Phần cứng,2023-03-22,2025-04-01,-197,Hỏng,811909.47,0
GT-0462,Biên bản hợp tác,Giấy tờ,2025-12-09,2026-12-31,415,Tốt,3363010.59,2
PC-0463,Máy tính bàn HP EliteDesk,Phần cứng,2021-11-05,2024-06-15,-525,Hỏng,1276532.62,0
GT-0464,Biên bản hợp tác,Giấy tờ,2025-04-06,2027-05-08,545,Tốt,4723071.1,2
PC-0465,Máy chiếu Epson EB-X51,Phần cứng,2022-07-06,2024-07-13,-489,Hỏng,1220736.45,0
PC-0466,Switch Cisco SG350,Phần cứng,2024-05-09,2025-01-18,-301,Hỏng,2853048.73,0
PM-0467,License AutoCAD 2024,Phần mềm,2023-07-21,2025-03-01,-247,Hỏng,3447633.76,0
GT-0468,Hợp đồng cung cấp dịch vụ,Giấy tờ,2026-02-05,2027-06-05,581,Tốt,4704376.78,2
PC-0469,Máy chiếu Epson EB-X51,Phần cứng,2024-10-16,2027-03-19,484,Cần bảo trì,2885926.18,1
PC-0470,Router Mikrotik RB750Gr3,Phần cứng,2026-06-06,2026-12-26,400,Tốt,3024769.61,2
PM-0471,Giấy phép Zoom Pro,Phần mềm,2026-02-12,2027-06-19,580,Tốt,2034539.8,2
GT-0472,Hồ sơ nhân sự,Giấy tờ,2023-05-05,2025-10-31,-47,Hỏng,1443427.98,0
PM-0473,Gói dịch vụ Google Workspace,Phần mềm,2026-05-11,2027-04-21,502,Tốt,1635165.81,2
PC-0474,Bộ lưu điện APC 1000VA,Phần cứng,2024-07-21,2025-04-22,-183,Hỏng,3989068.24,0
PM-0475,Bản quyền Windows Server 2022,Phần mềm,2026-02-03,2026-06-21,246,Tốt,3245373.29,2
GT-0476,Biên bản hợp tác,Giấy tờ,2025-08-16,2027-03-15,484,Tốt,1832307.67,2
PM-0477,License phần mềm kế toán MISA,Phần mềm,2024-08-04,2026-09-24,325,Tốt,1902098.52,2
GT-0478,Biên bản hợp tác,Giấy tờ,2022-07-31,2025-01-01,-291,Hỏng,2728434.44,0
